Description,Given Category,Given Sub-Category,Category,Sub_Category
Newell 345,Office Supplies,Art,,
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,,
Microsoft Natural Ergonomic Keyboard 4000,Technology,Accessories,,
"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,,
Recycled Easel Ring Binders,Office Supplies,Binders,,
GBC Recycled VeloBinder Covers,Office Supplies,Binders,,
Eldon 200 Class Desk Accessories,Furniture,Furnishings,,
Rogers Profile Extra Capacity Storage Tub,Office Supplies,Storage,,
Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,Appliances,,
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",Office Supplies,Binders,,
Wilson Jones Standard D-Ring Binders,Office Supplies,Binders,,
"Peel & Seel Recycled Catalog Envelopes, Brown",Office Supplies,Envelopes,,
Acme Kleen Earth Office Shears,Office Supplies,Supplies,,
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,,
Standard Rollaway File with Lock,Office Supplies,Storage,,
Xerox 228,Office Supplies,Paper,,
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,,
Southworth 100% Cotton The Best Paper,Office Supplies,Paper,,
Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
Xerox 196,Office Supplies,Paper,,
Newell 345,Office Supplies,Art,,
Xerox 231,Office Supplies,Paper,,
Newell 345,Office Supplies,Art,,
Storex Dura Pro Binders,Office Supplies,Binders,,
Acme Elite Stainless Steel Scissors,Office Supplies,Supplies,,
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Office Supplies,Envelopes,,
Heavy-Duty E-Z-D Binders,Office Supplies,Binders,,
Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,,
Newell 345,Office Supplies,Art,,
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,,
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,,
GBC Plasticlear Binding Covers,Office Supplies,Binders,,
Newell 346,Office Supplies,Art,,
Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,,
Avery Metallic Poly Binders,Office Supplies,Binders,,
Compact Automatic Electric Letter Opener,Office Supplies,Supplies,,
Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,,
Newell 346,Office Supplies,Art,,
Panasonic KX T7736-B Digital phone,Technology,Phones,,
Easy-staple paper,Office Supplies,Paper,,
Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,Appliances,,
Newell 346,Office Supplies,Art,,
"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Office Supplies,Paper,,
Logitech Wireless Headset h800,Technology,Accessories,,
Surelock Post Binders,Office Supplies,Binders,,
Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,,
"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,Binders,,
Xerox 1906,Office Supplies,Paper,,
Xerox 1906,Office Supplies,Paper,,
Staple envelope,Office Supplies,Envelopes,,
Easy-staple paper,Office Supplies,Paper,,
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,,
"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,,
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",Furniture,Furnishings,,
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Furniture,Furnishings,,
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Technology,Accessories,,
Gear Head AU3700S Headset,Technology,Phones,,
Newell 346,Office Supplies,Art,,
Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,,
Acme Kleen Earth Office Shears,Office Supplies,Supplies,,
Newell 346,Office Supplies,Art,,
Fiskars Softgrip Scissors,Office Supplies,Supplies,,
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",Office Supplies,Binders,,
"Eldon Executive Woodline II Desk Accessories, Mahogany",Furniture,Furnishings,,
Avery Poly Binder Pockets,Office Supplies,Binders,,
Xerox 1925,Office Supplies,Paper,,
Computer Printout Index Tabs,Office Supplies,Binders,,
Xerox 1903,Office Supplies,Paper,,
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders,,
GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,,
Xerox 1947,Office Supplies,Paper,,
Nu-Dell EZ-Mount Plastic Wall Frames,Furniture,Furnishings,,
3M Polarizing Light Filter Sleeves,Furniture,Furnishings,,
Xerox 1885,Office Supplies,Paper,,
Xerox 1965,Office Supplies,Paper,,
Newell 347,Office Supplies,Art,,
Tops Wirebound Message Log Books,Office Supplies,Paper,,
Tensor Track Tree Floor Lamp,Furniture,Furnishings,,
Memorex Froggy Flash Drive 4 GB,Technology,Accessories,,
Standard Line “While You Were Out” Hardbound Telephone Message Book,Office Supplies,Paper,,
Eldon Wave Desk Accessories,Furniture,Furnishings,,
Samsung Galaxy S4 Mini,Technology,Phones,,
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,,
Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,,
3M Hangers With Command Adhesive,Furniture,Furnishings,,
Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders,,
Crate-A-Files,Office Supplies,Storage,,
Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders,,
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,,
Maxell 4.7GB DVD-R,Technology,Accessories,,
"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,,
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Furniture,Furnishings,,
Nortel Meridian M5316 Digital phone,Technology,Phones,,
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,,
"Master Caster Door Stop, Gray",Furniture,Furnishings,,
Desktop 3-Pocket Hot File,Office Supplies,Storage,,
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,,
Bionaire 99.97% HEPA Air Cleaner,Office Supplies,Appliances,,
Polycom SoundStation2 EX Conference phone,Technology,Phones,,
"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,,
Tensor Track Tree Floor Lamp,Furniture,Furnishings,,
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper,,
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,,
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings,,
Tuf-Vin Binders,Office Supplies,Binders,,
Color-Coded Legal Exhibit Labels,Office Supplies,Labels,,
Rogers Deluxe File Chest,Office Supplies,Storage,,
Xerox 1983,Office Supplies,Paper,,
Toshiba IPT2010-SD IP Telephone,Technology,Phones,,
Advantus Plastic Paper Clips,Office Supplies,Fasteners,,
Southworth Structures Collection,Office Supplies,Paper,,
Zipper Ring Binder Pockets,Office Supplies,Binders,,
Staple envelope,Office Supplies,Envelopes,,
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,,
Home/Office Personal File Carts,Office Supplies,Storage,,
Newell 347,Office Supplies,Art,,
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,,
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,,
"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,,
Electrix Halogen Magnifier Lamp,Furniture,Furnishings,,
Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,,
Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,,
Canon PC1080F Personal Copier,Technology,Copiers,,
Xerox 1951,Office Supplies,Paper,,
Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,Appliances,,
"Neat Ideas Personal Hanging Folder Files, Black",Office Supplies,Storage,,
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",Office Supplies,Binders,,
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,,
"BlueLounge Milo Smartphone Stand, White/Metallic",Technology,Phones,,
Newell 347,Office Supplies,Art,,
Micro Innovations USB RF Wireless Keyboard with Mouse,Technology,Accessories,,
Fellowes Black Plastic Comb Bindings,Office Supplies,Binders,,
Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,,
Acco Side-Punched Conventional Columnar Pads,Office Supplies,Supplies,,
Newell 347,Office Supplies,Art,,
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,,
Dana Swing-Arm Lamps,Furniture,Furnishings,,
Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,Appliances,,
Panasonic KX TS3282W Corded phone,Technology,Phones,,
Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,,
Avery Non-Stick Binders,Office Supplies,Binders,,
Newell 347,Office Supplies,Art,,
Tennsco Double-Tier Lockers,Office Supplies,Storage,,
"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,,
Regeneration Desk Collection,Furniture,Furnishings,,
Newell 347,Office Supplies,Art,,
Avery 495,Office Supplies,Labels,,
Newell 347,Office Supplies,Art,,
AT&T 841000 Phone,Technology,Phones,,
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Technology,Phones,,
Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,,
Contemporary Wood/Metal Frame,Furniture,Furnishings,,
OIC Stacking Trays,Furniture,Furnishings,,
Newell 348,Office Supplies,Art,,
Stacking Trays by OIC,Furniture,Furnishings,,
Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,Electronics,Electronics_misc
Newell 348,Office Supplies,Art,,
Xerox 1976,Office Supplies,Paper,,
Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
Riverleaf Stik-Withit Designer Note Cubes,Office Supplies,Paper,,
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,,
Acco Translucent Poly Ring Binders,Office Supplies,Binders,,
Avery 478,Office Supplies,Labels,,
Newell 348,Office Supplies,Art,,
Xerox 1996,Office Supplies,Paper,,
Newell 348,Office Supplies,Art,,
Ibico Recycled Linen-Style Covers,Office Supplies,Binders,,
Logitech Gaming G510s - Keyboard,Technology,Accessories,,
GBC Linen Binding Covers,Office Supplies,Binders,,
Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,,
Jensen SMPS-640 - speaker phone,Technology,Phones,,
Kingston Digital DataTraveler 32GB USB 2.0,Technology,Accessories,,
Panasonic Kx-TS550,Technology,Phones,,
Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,,
DAX Wood Document Frame,Furniture,Furnishings,,
Xerox 1988,Office Supplies,Paper,,
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,,
Clear Mylar Reinforcing Strips,Office Supplies,Binders,,
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper,,
GBC VeloBind Cover Sets,Office Supplies,Binders,,
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,Office Supplies,Appliances,,
Strathmore Photo Mount Cards,Office Supplies,Paper,,
"DataProducts Ampli Magnifier Task Lamp, Black,",Furniture,Furnishings,,
Xerox 1993,Office Supplies,Paper,,
Satellite Sectional Post Binders,Office Supplies,Binders,,
Newell 348,Office Supplies,Art,,
Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,Electronics,Electronics_misc
"Executive Impressions 14""",Furniture,Furnishings,,
Staple envelope,Office Supplies,Envelopes,,
Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,,
GBC Durable Plastic Covers,Office Supplies,Binders,,
36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,,
DAX Solid Wood Frames,Furniture,Furnishings,,
Newell 348,Office Supplies,Art,,
Sensible Storage WireTech Storage Systems,Office Supplies,Storage,,
Avery 495,Office Supplies,Labels,,
"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furniture,Furnishings,,
Eldon Shelf Savers Cubes and Bins,Office Supplies,Storage,,
Logitech Wireless Anywhere Mouse MX for PC and Mac,Technology,Accessories,,
Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,,
Avery 484,Office Supplies,Labels,,
Xerox 1991,Office Supplies,Paper,,
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,,
"Master Caster Door Stop, Large Brown",Furniture,Furnishings,,
Eldon Simplefile Box Office,Office Supplies,Storage,,
Newell 349,Office Supplies,Art,,
Xerox 1915,Office Supplies,Paper,,
Newell 349,Office Supplies,Art,,
Xerox 217,Office Supplies,Paper,,
VTech DS6151,Technology,Phones,,
Newell 349,Office Supplies,Art,,
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,,
#6 3/4 Gummed Flap White Envelopes,Office Supplies,Envelopes,,
Newell 35,Office Supplies,Art,,
Dax Clear Box Frame,Furniture,Furnishings,,
Recycled Easel Ring Binders,Office Supplies,Binders,,
Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,,
Xerox 1882,Office Supplies,Paper,,
Deflect-O Glasstique Clear Desk Accessories,Furniture,Furnishings,,
Coloredge Poster Frame,Furniture,Furnishings,,
"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Office Supplies,Appliances,,
Martin-Yale Premier Letter Opener,Office Supplies,Supplies,,
Presstex Flexible Ring Binders,Office Supplies,Binders,,
Panasonic KX TS3282W Corded phone,Technology,Phones,,
"Eldon 200 Class Desk Accessories, Smoke",Furniture,Furnishings,,
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology,Accessories,,
Griffin GC36547 PowerJolt SE Lightning Charger,Technology,Phones,,
Logitech G35 7.1-Channel Surround Sound Headset,Technology,Accessories,,
Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,,
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,,
Penpower WorldCard Pro Card Scanner,Technology,Machines,Electronics,Electronics_misc
Wilson Jones Standard D-Ring Binders,Office Supplies,Binders,,
Newell 35,Office Supplies,Art,,
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Furnishings,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,,
Imation 30456 USB Flash Drive 8GB,Technology,Accessories,,
Eldon 500 Class Desk Accessories,Furniture,Furnishings,,
Plantronics Single Ear Headset,Technology,Machines,Electronics,Electronics_misc
"File Shuttle II and Handi-File, Black",Office Supplies,Storage,,
GBC Wire Binding Strips,Office Supplies,Binders,,
Avery 512,Office Supplies,Labels,,
Ricoh - Ink Collector Unit for GX3000 Series Printers,Technology,Machines,Electronics,Electronics_misc
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Furniture,Furnishings,,
Electrix Fluorescent Magnifier Lamps & Weighted Base,Furniture,Furnishings,,
Newell 35,Office Supplies,Art,,
OIC Thumb-Tacks,Office Supplies,Fasteners,,
Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Office Supplies,Storage,,
"Eldon Stackable Tray, Side-Load, Legal, Smoke",Furniture,Furnishings,,
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,,
"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,,
Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders,,
Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,,
"DAX Cubicle Frames, 8-1/2 x 11",Furniture,Furnishings,,
Xerox 213,Office Supplies,Paper,,
"DAX Metal Frame, Desktop, Stepped-Edge",Furniture,Furnishings,,
KeyTronic E03601U1 - Keyboard - Beige,Technology,Accessories,,
Dana Swing-Arm Lamps,Furniture,Furnishings,,
"Strathmore #10 Envelopes, Ultimate White",Office Supplies,Envelopes,,
Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Fasteners,,
GBC Binding covers,Office Supplies,Binders,,
Zipper Ring Binder Pockets,Office Supplies,Binders,,
Clear Mylar Reinforcing Strips,Office Supplies,Binders,,
Newell 35,Office Supplies,Art,,
Wilson Electronics DB Pro Signal Booster,Technology,Phones,,
Newell 35,Office Supplies,Art,,
"DataProducts Ampli Magnifier Task Lamp, Black,",Furniture,Furnishings,,
"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Office Supplies,Paper,,
Avery Reinforcements for Hole-Punch Pages,Office Supplies,Binders,,
Plantronics Calisto P620-M USB Wireless Speakerphone System,Technology,Phones,,
Magnifier Swing Arm Lamp,Furniture,Furnishings,,
"""While you Were Out"" Message Book, One Form per Page",Office Supplies,Paper,,
Hypercom P1300 Pinpad,Technology,Accessories,,
Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Furnishings,,
Self-Adhesive Removable Labels,Office Supplies,Labels,,
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Office Supplies,Appliances,,
GBC VeloBinder Manual Binding System,Office Supplies,Binders,,
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Furniture,Furnishings,,
Ricoh - Ink Collector Unit for GX3000 Series Printers,Technology,Machines,Electronics,Electronics_misc
Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,,
Executive Impressions Supervisor Wall Clock,Furniture,Furnishings,,
Cisco Small Business SPA 502G VoIP phone,Technology,Phones,,
"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders,,
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,,
"DAX Cubicle Frames, 8-1/2 x 11",Furniture,Furnishings,,
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,,
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,,
"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",Office Supplies,Storage,,
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,,
Newell 35,Office Supplies,Art,,
"Executive Impressions 13"" Chairman Wall Clock",Furniture,Furnishings,,
Avery 485,Office Supplies,Labels,,
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,,
Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,Storage,,
Dana Halogen Swing-Arm Architect Lamp,Furniture,Furnishings,,
Motorola HK250 Universal Bluetooth Headset,Technology,Phones,,
Newell 35,Office Supplies,Art,,
36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,,
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,,
GBC Instant Report Kit,Office Supplies,Binders,,
Acco 3-Hole Punch,Office Supplies,Binders,,
Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Technology,Accessories,,
Geemarc AmpliPOWER60,Technology,Phones,,
Avery 476,Office Supplies,Labels,,
Xerox 1947,Office Supplies,Paper,,
Fellowes Presentation Covers for Comb Binding Machines,Office Supplies,Binders,,
Newell 35,Office Supplies,Art,,
Tensor Brushed Steel Torchiere Floor Lamp,Furniture,Furnishings,,
ClearSounds CSC500 Amplified Spirit Phone Corded phone,Technology,Phones,,
"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,,
Xerox 206,Office Supplies,Paper,,
Eldon Executive Woodline II Cherry Finish Desk Accessories,Furniture,Furnishings,,
Aluminum Screw Posts,Office Supplies,Binders,,
Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,,
Translucent Push Pins by OIC,Office Supplies,Fasteners,,
GBC Plasticlear Binding Covers,Office Supplies,Binders,,
Tennsco Commercial Shelving,Office Supplies,Storage,,
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Furniture,Furnishings,,
VariCap6 Expandable Binder,Office Supplies,Binders,,
Avery 514,Office Supplies,Labels,,
Digium D40 VoIP phone,Technology,Phones,,
Eldon Fold 'N Roll Cart System,Office Supplies,Storage,,
Tennsco Commercial Shelving,Office Supplies,Storage,,
Acme Galleria Hot Forged Steel Scissors with Colored Handles,Office Supplies,Supplies,,
Staples,Office Supplies,Fasteners,,
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,Binders,,
Newell 35,Office Supplies,Art,,
"Decoflex Hanging Personal Folder File, Blue",Office Supplies,Storage,,
Newell 350,Office Supplies,Art,,
"Rogers Jumbo File, Granite",Office Supplies,Storage,,
Avery 49,Office Supplies,Labels,,
"BlueLounge Milo Smartphone Stand, White/Metallic",Technology,Phones,,
"Elite 5"" Scissors",Office Supplies,Supplies,,
Things To Do Today Pad,Office Supplies,Paper,,
Harmony Air Purifier,Office Supplies,Appliances,,
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,,
"Fellowes Mobile File Cart, Black",Office Supplies,Storage,,
Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Furnishings,,
Mediabridge Sport Armband iPhone 5s,Technology,Phones,,
"Executive Impressions 14"" Contract Wall Clock",Furniture,Furnishings,,
Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,,
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,,
"Adams ""While You Were Out"" Message Pads",Office Supplies,Paper,,
Newell 350,Office Supplies,Art,,
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Office Supplies,Paper,,
Dax Clear Box Frame,Furniture,Furnishings,,
"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,,
Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,,
Xerox 1949,Office Supplies,Paper,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",Technology,Accessories,,
"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,,
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper,,
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,Supplies,,
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Furnishings,,
"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,,
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,,
Stackable Trays,Furniture,Furnishings,,
Avery File Folder Labels,Office Supplies,Labels,,
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Furnishings,,
Tensor Brushed Steel Torchiere Floor Lamp,Furniture,Furnishings,,
Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,,
LG G3,Technology,Phones,,
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,,
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,,
"Executive Impressions 12"" Wall Clock",Furniture,Furnishings,,
Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,,
Polycom CX600 IP Phone VoIP phone,Technology,Phones,,
"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Office Supplies,Paper,,
Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,,
"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,,
GBC VeloBind Cover Sets,Office Supplies,Binders,,
Space Solutions Industrial Galvanized Steel Shelving.,Office Supplies,Storage,,
Ricoh - Ink Collector Unit for GX3000 Series Printers,Technology,Machines,Electronics,Electronics_misc
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,,
"Master Big Foot Doorstop, Beige",Furniture,Furnishings,,
DAX Cubicle Frames - 8x10,Furniture,Furnishings,,
"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,,
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,,
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,,
Xerox 1957,Office Supplies,Paper,,
EcoTones Memo Sheets,Office Supplies,Paper,,
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,,
"Super Bands, 12/Pack",Office Supplies,Fasteners,,
Avery Hole Reinforcements,Office Supplies,Binders,,
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,,
Tuff Stuff Recycled Round Ring Binders,Office Supplies,Binders,,
Newell 350,Office Supplies,Art,,
Pressboard Data Binders by Wilson Jones,Office Supplies,Binders,,
36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,,
Acco Translucent Poly Ring Binders,Office Supplies,Binders,,
G.E. Halogen Desk Lamp Bulbs,Furniture,Furnishings,,
Avery 51,Office Supplies,Labels,,
Xerox 195,Office Supplies,Paper,,
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Office Supplies,Storage,,
Xerox 2,Office Supplies,Paper,,
Xerox 1893,Office Supplies,Paper,,
"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,,
Xerox 189,Office Supplies,Paper,,
Westinghouse Clip-On Gooseneck Lamps,Furniture,Furnishings,,
Newell 350,Office Supplies,Art,,
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Furniture,Furnishings,,
Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Office Supplies,Binders,,
Polycom VoiceStation 500 Conference phone,Technology,Phones,,
Geemarc AmpliPOWER60,Technology,Phones,,
Avery 498,Office Supplies,Labels,,
Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,,
Konftel 250 Conference phone - Charcoal black,Technology,Phones,,
Cardinal EasyOpen D-Ring Binders,Office Supplies,Binders,,
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,,
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,,
Canon PC-428 Personal Copier,Technology,Copiers,,
Easy-staple paper,Office Supplies,Paper,,
Microsoft Natural Keyboard Elite,Technology,Accessories,,
Newell 350,Office Supplies,Art,,
Xerox 1900,Office Supplies,Paper,,
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",Office Supplies,Storage,,
Staple holder,Office Supplies,Appliances,,
Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,,
Easy-staple paper,Office Supplies,Paper,,
"Tensor ""Hersey Kiss"" Styled Floor Lamp",Furniture,Furnishings,,
Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,,
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,,
Hewlett Packard 310 Color Digital Copier,Technology,Copiers,,
Newell 350,Office Supplies,Art,,
"Computer Room Manger, 14""",Furniture,Furnishings,,
Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,,
Newell 351,Office Supplies,Art,,
GE 30524EE4,Technology,Phones,,
Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,,
"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners,,
Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper,,
Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,,
