Description,Category,Sub_Category,ProductBrand,Description2
Louis Philippe Sport Men Blue Slim Fit Self Design Smart Casual Trousers,Clothes,Clothes,Louis Philippe Sport,"Blue self-design low-rise smart casual trousers, button closure, and 4 pockets"
Louis Philippe Jeans Men Black Printed Round Neck T-shirt,Clothes,Clothes,Louis Philippe Jeans,"Black printed T-shirt, has a round neck, and short sleeves"
Puma Unisex Navy Blue Auxius V2 IDP Printed Slip-On Sneakers,Clothes,Shoes,Puma,"Product DetailsA pair of round-toe navy blue slip-on sneakers, has regular styling, slip-on detailCanvas upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Boys Black Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Black printed T-shirt, has a round neck, and long sleeves"
Peter England Men White Slim Fit Solid Formal Shirt,Clothes,Clothes,Peter England,"White solid formal shirt, has a mandarin collar, long sleeves, button placket, and straight hem"
Puma Men Navy Blue & Black Prego IDP Sports Sandals,Clothes,Shoes,Puma,"Product DetailsA pair of navy blue & black sports sandals, secured with a Velcro closureSynthetic upperCushioned footbedTextured outsoleWarranty: 3 monthsWarranty provided by Brand Owner / Manufacturer owner / manufacturer"
Puma Men Black One 5.4 Football Shoes,Clothes,Shoes,Puma,Design Details:Product Color: BlackSoft synthetic upperClassic tongue and lacing construction for fitHybrid outsole which can be used on firm and artificial groundsONE branding on tongueContrast PUMA Formstrip on lateral sideFG/AG: Firm Ground/Artificial GroundWarranty: 3 monthsWarranty provided by brand/manufacturer
Lapis O Lupo Blue Solid Quilted Sling Bag,Clothes,Bags_Accessories,Lapis O Lupo,"Blue solid sling bag, has a button closure1 main compartment, 1 inner pocketTablet sleeve: No"
FabSeasons Unisex Multicoloured Printed Beanie,Clothes,Clothes,FabSeasons,Multicoloured printed  Cap and has a visor
Instacrush Women Navy Blue Solid Wrap Dress,Clothes,Clothes,Instacrush,"Navy Blue solid woven wrap dress, has a V-neck, three-quarter sleeves, concealed zip closure, and asymmetric hem"
Puma Men Grey Crystal IDP Sports Sandals,Clothes,Shoes,Puma,"A pair of grey solid sports sandals, secured with a Velcro closureSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by Brand/Manufacturer"
Alcis Women Black & Off-White Striped Round Neck T-shirt,Clothes,Clothes,Alcis,"Black and Off-white striped T-shirt, has a round neck, and short sleevesEngineered with Antistatix, Drytech+ and stretch X technologies Â  Â  Â "
Pepe Jeans Boys Grey & Coral Orange Regular Fit Checked Hooded Casual Shirt,Clothes,Clothes,Pepe Jeans,"Grey, coral orange and teal blue checked casual shirt, has a detachable hood, spread collar, long sleeves, button placket, curved hem, and 2 flap pockets"
Raymond Men Beige Slim Fit Self Design Formal Trousers,Clothes,Clothes,Raymond,"Beige self-design low-rise trousers, button closure, and 4 pocketsThe stylists have styled these trousers with a belt from their personal collection. These trousers do not come with a belt."
Alcis Men White Printed Round Neck T-shirt,Clothes,Clothes,Alcis,"White printed T-shirt, has a round neck, and short sleevesEngineered with Antistatix, Drytech+ and Stretch X technologies"
Rain & Rainbow Women Navy Blue & Beige Printed Maxi Dress,Clothes,Clothes,Rain & Rainbow,"Navy blue brown and green printed woven maxi dress with beaded and sequins detail, has a notched round neck, three-quarter sleeves, and flared hem"
Pepe Jeans Boys Olive Slim Fit Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Coloured no fade olive jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  "
Pepe Jeans Boys Coral Solid Polo Collar T-shirt,Clothes,Clothes,Pepe Jeans,"Coral solid T-shirt, has a polo collar, and short sleeves"
W Women Yellow & Silver Yoke Design A-Line Sustainable Kurta,,,W,"Yellow and Silver yoke design A-line kurta, has a notched round neck, three-quarter sleeves, and flared hem"
Alcis Men Charcoal Grey Slim Fit Solid Round Neck T-shirt,Clothes,Clothes,Alcis,"Charcoal grey solid T-shirt, has a round neck, and short sleevesEngineered with neudri technology"
Pepe Jeans Boys Red & Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Pepe Jeans,"Red and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Pepe Jeans Boys Red Printed Sweatshirt,Clothes,Clothes,Pepe Jeans,"Red printed sweatshirt, has a mock collar, long sleeves, zip closure, straight hem"
STREET 9 Women Peach-Coloured & White Regular Fit Printed Casual Crop Shirt,Clothes,Clothes,STREET 9,"Peach-coloured and white printed casual crop shirt with waist tie-ups detail, has a spread collar, long sleeves, button placket, and straight hem"
Pepe Jeans Boys Blue Faded Checked Casual Shirt,Clothes,Clothes,Pepe Jeans,"Blue faded checked opaque Casual shirt ,has a hooded,  button placket,  2 pocket, long regular sleeves,  curved hem"
QUIERO Women Navy Blue Regular Fit Solid Parallel Trousers,Clothes,Clothes,QUIERO,"Navy Blue solid high-rise parallel trousers, zip closure, and 2 pockets"
Pepe Jeans Boys Red Solid Polo Collar T-shirt,Clothes,Clothes,Pepe Jeans,"Red solid T-shirt, has a polo collar, and short sleeves"
Pepe Jeans Boys Red & Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Pepe Jeans,"Red, White and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
DressBerry Women Brown & Rose Gold Colourblocked Open Toe Flats,Clothes,Clothes,DressBerry,"A pair of brown & rose gold open-toed flats, has regular styling, ankle loop detailSynthetic upperCushioned footbedTextured and patterned outsole"
Instacrush Women Multicoloured Regular Fit Checked Casual Shirt,Clothes,Clothes,Instacrush,"Multicoloured checked casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Indo Era Women Blue & Off-White Printed Kurta with Dhoti Pants,Clothes,Clothes,Indo Era,"Blue and off-white printed kurta with dhoti pantsBlue and black printed straight calf length kurta, has a notched round neck, three-quarter sleeves, straight hem, side slitsOff-white and blue printed dhoti pants with pleated detail, has partially elasticated waistband with slip-on closure"
Pepe Jeans Boys Yellow Printed Polo Collar T-shirt,Clothes,Clothes,Pepe Jeans,"Yellow printed back T-shirt, has a polo collar, and short sleeves"
Puma Unisex Black Nrgy Comet SoftFoam+ Running Shoes,Clothes,Shoes,Puma,"Special Technology:SoftFoam+ sockliner: Flexible sock collar with cushioned foot bed provides optimal step-in comfortNRGY: Foam beads offer superior cushioning from heel to toe and resiliency in all conditions to help you power through your runProduct Design Details:A pair of black running sports shoes, has regular styling, lace-up detailStylish Upper: A blend of heather and athletic meshes, the upper also has a FIT+ lacing system to keep your foot locked down.Cushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout the shoe:The Black NRGY Comet Adults Unisex black NRGY is from the Running Shoes collection from PUMA. Comprising of stylish Knitted upper and rubber sole this is lightweight, durable and comfortable, designed to perfect your performance with high step in comfort, superior grip and PUMA's NRGY technology which helps in generating energy return"
Puma Women Peach-Colored Carina Suede SoftFoam+ Sneakers,Clothes,Shoes,Puma,"Special Technology:SoftFoam+ sockliner: Flexible sock collar with cushioned foot bed provides optimal step-in comfortProduct Design Details:A pair of round-toe peach-colored sneakers, has regular styling, lace-up detailSuede leather upper is accented by a perforated vamp and a synthetic leather PUMA formstripeNew cupsole tooling though with a slightly elevated platform sole with texture interest in toe and heel area and cat branding in the medial.Â Cushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
W Women Yellow Yoke Design Straight Kurta,,,W,"Yellow yoke design straight kurta with threadwork detail, has a round neck, three-quarter sleeves, straight hem, and side slits"
Pepe Jeans Boys Yellow & Blue MAGNUS LS IP Regular Fit Checked Casual Shirt,Clothes,Clothes,Pepe Jeans,"Yellow and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Divine Casa Brown Set of 2 Window Curtains,Home,Decor,Divine Casa,Set content: 2 Window curtainsColour: BrownPattern: Solid WindowLight blocking: Black OutFitting: EyeletLining: No
Pepe Jeans Boys White & Blue Regular Fit Striped Casual Shirt,Clothes,Clothes,Pepe Jeans,"White and Blue striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
WESTCLO Women Grey Solid Straight Kurti,,,WESTCLO," Grey solid straight kurti with embroidered detail, has a V-neck, three-quarter sleeves, high-low hem, and side slits."
WESTCLO Women Pink Solid Straight Kurti,,,WESTCLO," Pink solid straight kurti with printed patch detail on the yoke, has a round neck, three-quarter sleeves, straight hem, side slits."
Pepe Jeans Boys Red Printed PARKER SS IP Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Red printed T-shirt, has a round neck, and short sleeves"
WESTCLO Women Red Printed Straight Kurti,,,WESTCLO," Red printed straight kurti, has round neck, button closures, three-quarter sleeves, side slits and straight hem "
Flying Machine Men Navy Blue Super Slim Fit Solid Regular Trousers,Clothes,Clothes,Flying Machine,"Navy Blue solid mid-rise trousers, button closure, and 4 pockets"
Carlton London Silver-Toned Rhodium-Plated CZ Studded Bracelet,Clothes,Clothes,Carlton London,Silver-Toned charm braceletMaterial and stone type: Brass with cubic zirconiaPlating: Rhodium-PlatedClosure: Lobster
Puma Unisex Navy Blue Deco IDP Sneakers,Clothes,Shoes,Puma,"Design Details:A pair of round-toe navy blue sneakers, has regular styling, lace-up detailTextile & leather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Flying Machine Men Rust & Navy Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Flying Machine,"Rust and Navy Blue checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Pepe Jeans Boys Blue Washed DAVIN LS IP Regular Fit Casual Chambray Shirt,Clothes,Clothes,Pepe Jeans,"Blue washed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 2 flap pockets"
Flying Machine Men Red & Navy Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Flying Machine,"Red and Navy Blue checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Pepe Jeans Girls Grey Skinny Fit High-Rise Light Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Medium light fade grey jeans   Skinny fit,  high-rise   Clean look   Stretchable   5 pocket   Length: regular  "
MASPAR Pink & White Floral 400 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Home,Decor,MASPAR,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 400Colour: Pink and WhitePattern: Floral
Puma Men Red Textured 19.1 Bowling Shoes,Clothes,Shoes,Puma,"Design details:A pair of round-toe red sneakers, has regular styling, lace-up detailSynthetic upperNew lightweight upper construction provides superb support for multi-directional movements.Rubberized and reinforced toe area creates enhanced durability.Slip-on upper construction combined with the stability strap provide a snug fit and superior lock-down feelingLightweight EVA midsole ensures optimal cushioning, and together with the high performance outsole, provides superior stability and traction.Cushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout The Shoes:The newly engineered PUMA Bowling 19.1 is made for top performance Cricket athletes"
WESTCLO Women Turquoise-Blue & Red Printed Straight Kurti,,,WESTCLO," Turquoise-blue and red printed straight kurti, has a round neck, three-quarter sleeves, straight hem, side slits."
Pepe Jeans Boys Navy Blue Pure Cotton Solid Chambray Casual Shirt,Clothes,Clothes,Pepe Jeans,"Navy blue solid chambray casual shirt, has a spread collar, button placket, 2 flap pockets, long regular sleeves, curved hem"
Pepe Jeans Boys Navy Blue & Red Brand Logo Print Polo Collar T-shirt,Clothes,Clothes,Pepe Jeans,"Navy Blue and red brand logo print T-shirt, has a polo collar, button closures and short sleeves"
Pepe Jeans Boys White & Blue Regular Fit Colourblocked Casual Shirt,Clothes,Clothes,Pepe Jeans,"White and Blue colourblocked casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Wish Karo Girls Burgundy Fit and Flare Silk Dress,Clothes,Clothes,Wish Karo,"Burgundy solid knitted fit and flare dress, has a round neck, sleeveless, zip closure, an attached lining, and flared hem"
Pepe Jeans Boys Blue Camouflage Printed Slim Fit Light Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"Blue comouflage printed dark wash jeans With side stripes, clean look, light fade, and has a button fly closure"
WESTCLO Women Turquoise-Blue Embroidered A-Line Kurti,,,WESTCLO," Turquoise-blue solid A-line kurti with embroidered detail on the yoke, has mandarin collar, button closures at the front, three-quarter sleeves with roll-up tabs, asymmetrical high-low hem "
Wild Stone Men Edge Eau de Parfum 100 ml,,,Wild stone,Edge Eau de Parfum
Pepe Jeans Boys Olive Green Mid-Rise Cargo Shorts,Clothes,Clothes,Pepe Jeans,"Olive green solid mid-rise cargo shorts, has 6 pockets, drawstring closure"
Pepe Jeans Boys Blue William Cashed Jogger Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"Blue medium wash 4-pocket mid-rise jeans, clean look, heavy fade, and has a drawstring closure"
Wild Stone Men Edge Eau de Parfum 50 ml,,,Wild stone,"What it isEdge Eau de ParfumFeaturesRich woody and aromatic notes mixed with notes of artemisia, patchouli, and labdanumA Perfect casual wear perfumeWith freshness which lasts for a long time"
Puma Women White & Pink Colourblocked Smash BFF P Sneakers,Clothes,Shoes,Puma,"About the shoeFind your new BFF in a pair of sneakers. The PUMA Smash BFFs for women feature a full patent synthetic leather upper with a unique heart-shaped suede overlay, plus a SoftFoam+ sockliner for added comfort.Special TechnologySoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your dayProduct DetailsA pair of round-toe white & pink sneakers, has regular styling, velcro detailPatent synthetic leatherHeart-shaped suede overlaysRubber outsole for gripPUMA Archive No. 2 label on tongue, overlays, midsole and outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Puma Unisex White Rebound LayUp SoftFoam +Sneakers,Clothes,Shoes,Puma,"Special Technology:SoftFoam+sockliner: Sock-like structure provides flexible fit and long-lasting comfortDesign Details:A pair of round-toe white sneakers, has regular styling, lace-up detailPerforations on the vamp and classic PUMA Formstrip branding create an iconic basketball lookSynthetic leather & Suede upper with full lace closurePerforated details on the vampPadded collar and tongueColor block designWarranty: 3 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Boys Red Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Red printed T-shirt, has a round neck, and short sleeves"
Peter England Men Blue Checked Slim Fit Formal Shirt,Clothes,Clothes,Peter England,"Blue checked formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Alcis Men Blue Printed Round Neck Training T-shirt,Clothes,Clothes,Alcis,"Blue printed training T-shirt, has a round neck, and sleevelessEngineered with Antistatix, Drytech+ and Stretch X technologies"
Wild Stone Men Set of 2 Ultra Sensual & Edge Deodorants,,,Wild stone,"What it isSet of 2 Ultra Sensual and Edge DeodorantsWild Stone Ultra SensualÂ DeodorantFeaturesThe freshness of mint, lavender and aromatic notes of patchouli create an eclectic effervescence that won't go unnoticedThis Fragrance is for a man who is aware of his strengths and sensuality and exudes a confident personaIdeally suited when you are wanting to be at your casual bestThe Minty top notes makes it an everyday deodorantZesty, fresh notes with a woody charm builds a powerful fragranceWild Stone Edge DeodorantFeaturesThe rich woody and aromatic notes mixed with notes of artemisia, patchouli, and labdanum complements the man who's dynamic and lives life on the edgeA Perfect casual wear deodorantWith freshness which lasts for a long time"
Wintage Men Black & Beige Printed Straight Kurta,,,Wintage,"Black and beige printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits"
Genius18 Men White & Black Printed Round Neck T-shirt,Clothes,Clothes,Genius18,"White and black printed T-shirt, has a round neck, short sleeves"
Flying Machine Men Burgundy & Beige Regular Fit Checked Casual Shirt,Clothes,Clothes,Flying Machine,"Burgundy and Beige checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Alcis Men Navy Blue Solid Sweatshirt,Clothes,Clothes,Alcis,"Navy blue solid sweatshirt, has a round neck, long raglan sleeves, straight hemEngineered with rapid dry technology"
Pepe Jeans Girls Blue Skinny Fit Light Fade Stretchable Jeans With Side Stripes,Clothes,Clothes,Pepe Jeans,"Blue dark wash jeans With side stripes, clean look, light fade, and has a button fly closure"
Pepe Jeans Boys Black Slim Fit Mildly Distressed Heavy Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"Blue dark wash jeans, clean look, light fade, mildly distress and has a button fly closure"
Lino Perros Beige Solid Handheld Bag,Clothes,Bags_Accessories,Lino Perros,"Beige solid handheld bag, has a zip closure1 main compartment, 1 inner pocketTablet sleeve: NoTwo Handles"
Lapis O Lupo Black Solid Sling Bag,Clothes,Bags_Accessories,Lapis O Lupo,"Black solid sling bag, has a button closure1 main compartment, 1 inner pocketA non-detachable sling strap"
Pepe Jeans Girls Red Embellished Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Red embellished printed T-shirt, has a round neck, and short sleeves"
SG YUVRAJ Boys Black Solid Kurta with Pyjamas,Clothes,Clothes,SG YUVRAJ,"Black solid kurta with pyjamas Black pathani knee length kurta, has a shirt collar, long sleeves, curved hem Black solid pyjamas, drawstring closure"
Pepe Jeans Boys Off White Solid Slim Fit Mid-Rise Cotton Denim Shorts with Printed Detail,Clothes,Clothes,Pepe Jeans,"Off white solid mid-rise denim shorts with printed detail, has 3 insert pockets and 2 patch pockets, button and zip fly closure"
Wintage Men Black & Beige Printed Straight Kurta,,,Wintage,"Black and beige printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits"
Puma Men Black Concave V2 Idp Running Shoes,Clothes,Shoes,Puma,"Special Technology:SoftFoam+ sockliner provides superior cushioning and optimal comfort for every step of your dayDesign Details:A pair of black running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Boys Red Tartan Checks Checked Casual Shirt,Clothes,Clothes,Pepe Jeans,"Red tartan checks checked opaque Casual shirt ,has a spread collar,  button placket,  1 patch pocket, long regular sleeves,  curved hem"
The Dry State Women Green Striped Round Neck Slim Fit T-shirt,Clothes,Clothes,The Dry State,"Green and yellow striped T-shirt, has a round neck, and short sleeves"
DressBerry Women Gold-Toned & Purple Colourblocked Open Toe Flats,Clothes,Clothes,DressBerry,"A pair of gold-toned & purple open-toed flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 15 daysWarranty provided by brand/manufacturer"
Pepe Jeans Boys Navy Blue Typography Printed Polo Collar T-shirt,Clothes,Clothes,Pepe Jeans,"  Navy blue Tshirt for boys   Typography printed   Regular length   Polo collar   Short,  regular sleeves   Knitted cotton fabric   Button closure  "
Alcis Men Navy Blue Printed Round Neck T-shirt,Clothes,Clothes,Alcis,"Navy Blue and Grey printed T-shirt, has a round neck, and short sleeves"
Alcis Women Blue Printed Round Neck T-shirt,Clothes,Clothes,Alcis,"Blue printed T-shirt, has a round neck, and short sleeves"
U.S. Polo Assn. Men Pack Of 2 Assorted Briefs 10248023,Clothes,Clothes,U.S. Polo Assn.,"Pack of two basic assorted briefs, each hasÂ each has an outer elasticated waistband, double-layered and contoured front pouchDisclaimer: The final product delivered might vary in colour and prints from the display here"
Alcis Women Sea Green Solid Round Neck T-shirt,Clothes,Clothes,Alcis,"Sea Green solid T-shirt, has a round neck, and short sleeves"
Wintage Men Black Woven Design Straight Kurta,,,Wintage,"Black woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Louis Philippe Jeans Men White & Teal Blue Slim Fit Printed Casual Shirt,Clothes,Clothes,Louis Philippe Jeans,"White and Teal Blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Pepe Jeans Boys Grey Printed Sweatshirt,Clothes,Clothes,Pepe Jeans,"Grey printed pullover, has a round neck, long sleves and ribbed hem"
Pepe Jeans Girls Pink Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Pink printed T-shirt, has a round neck, and short sleeves"
Wintage Men Blue & Beige Printed Straight Kurta,,,Wintage,"Blue and Beige printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Puma Men Black Canim Idp SoftFoam+ Sneakers,Clothes,Shoes,Puma,"Special Technology:SoftFoam+ sockliner: Flexible sock collar with cushioned foot bed provides optimal step-in comfortProduct Design Details:A pair of black running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Wintage Men Blue & Off-White Printed Straight Kurta,,,Wintage,"Blue and off-white printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Wintage Men Blue Striped Straight Kurta,,,Wintage,"Blue striped straight kurta, has a mandarin collar, long sleeves, straight hem, side slits"
Wintage Men Multicoloured Striped Straight Kurta,,,Wintage,"Multicoloured striped straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Alcis Women Olive Green Solid Joggers,Clothes,Clothes,Alcis,"Olive green solid joggers, has an elasticated waistband with a drawstring closure, two pocketsEngineered with Antimicrobial technology"
Louis Philippe Men Black Textured Leather Belt,Clothes,Clothes,Louis Philippe,Black textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 yearWarranty provided by brand/manufacturer
Pepe Jeans Boys Red Solid Padded Jacket,Clothes,Clothes,Pepe Jeans,"Red solid padded jacket, has a stand collar, 2 pockets, zip closure, sleeveless, straight hem, and polyester lining"
Pepe Jeans Boys Black & White Printed Sweatshirt,Clothes,Clothes,Pepe Jeans,"Black and white printed sweatshirt, has a round neck, long sleeves, straight hem"
Pepe Jeans Boys Blue & White Striped Light Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Medium light fade blue jeans   Regular fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  "
Pepe Jeans Boys Orange & White Regular Fit Checked FORCE LS IP Casual Shirt,Clothes,Clothes,Pepe Jeans,"Orange and White checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Pepe Jeans Boys White Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"White printed T-shirt, has a round neck, and short sleeves"
PUMA Motorsport Unisex Maroon & Black SF Evo Cat II Suede Sneakers,Clothes,Shoes,PUMA Motorsport,"Special technologies:Ignite midsole brings the perfect cushioning for comfort.Design details:A pair of round-toe maroon and black sneakers, has regular styling, lace-up detailSuede and textile upperThe suede tonal upper brings a nice fitThe debossed tonal Ferrari Logo can be found on the back of the high quality leather heel.Cushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout the shoes:The SF Evo Cat II Suede LS is the street wear version of the performance sock, wise mixture of performance and lifestyle."
hummel Men Navy Blue Solid Hooded Sweatshirt,Clothes,Clothes,hummel,"Navy Blue solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem"
Pepe Jeans Boys Orange Solid Bomber Jacket,Clothes,Clothes,Pepe Jeans,"Orange solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining"
Pepe Jeans Boys Grey & Black Biker Print Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Grey and black biker print T-shirt with dyed effect, has a round neck, and long sleeves"
STREET 9 Women Black & Mustard Yellow Colourblocked Layered Basic Jumpsuit,Clothes,Clothes,STREET 9,"Black and mustard yellow colourblocked basic jumpsuit with layered and pleated detail, has shoulder straps, short sleeves, two pockets, concealed zip closure, cuffed hem"
Wild stone Men Set of 2 Body Perfumes,Clothes,Bags_Accessories,Wild stone,"This set consists of two Stone Body PerfumesNotesWith earthy notes of basil and artemisia that mix seductively with lemon and lavenderFeaturesContains zero gas, only perfumeFragrance is safe to use on skin andÂ lasts for a long time."
FabSeasons Unisex Navy Blue Self Design Beanie,Clothes,Clothes,FabSeasons,Navy Blue self-design  Cap and has a visor
Genius18 Men Grey & Black Printed Sweatshirt,Clothes,Clothes,Genius18,"Grey and Black printed sweatshirt, has a round neck, long sleeves"
Pepe Jeans Girls Blue BETH Skinny Fit Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Dark no fade blue jeans   Skinny fit,  mid-rise   Clean look   Stretchable   With side stripe   5 pocket   Length: regular  "
Pepe Jeans Girls Blue AMORA Skinny Fit Heavy Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Medium heavy fade blue jeans   Skinny fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  "
Wild stone Men Set of 2 Body Perfume,Clothes,Bags_Accessories,Wild stone,"What it isSet of 2 Body PerfumesÂ Wild stone Code Platinum body perfumeFeaturesÂ Platinum is a robust fragrance that truly separates men from boys with its eclectic blend of apple notes, muguet and cedar wood. Perfect for winter time.Designed by Master Perfumers in France.Wild stone Code Titanium body perfumeÂ FeaturesÂ Titanium is a playfully fresh fragrance with masculine notes of citrus, dry amber and musk that invokes codes of dynamism and energy. This young perfume with fruity top notes blended with marine notes makes you the winner in every aspect. Designed by Master Perfumers in France."
Puma Unisex Black King Hero Leather Football Shoes,Clothes,Shoes,Puma,"Features:A pair of black football sports shoes, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout Puma King Hero:The classic leather boot has been and still is the choice of top professionals and Sunday league players alike. With its soft full grain leather upper, the new KING Hero is the epitome of a modern classic."
Pepe Jeans Boys Blue Slim Fit Mid-Rise Clean Look Jeans,Clothes,Clothes,Pepe Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
Pepe Jeans Boys Yellow Printed Sweatshirt,Clothes,Clothes,Pepe Jeans,"Yellow printed sweatshirt, has a round neck, long sleeves, straight hem"
Cation Black Top,Clothes,Clothes,Cation,"Black knitted top, has a round neck, sleeveless"
Pepe Jeans Boys Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"Blue printed medium wash 5-pocket mid-rise jeans, mildly distressed, heavy fade, has a button and zip closure, and waistband with belt loops"
Pepe Jeans Boys Navy Blue Printed Regular Trousers,Clothes,Clothes,Pepe Jeans,"Navy blue abstract printed regular trousers, has a waistband with beltloops, button closure, zip fly and four pockets"
Pepe Jeans Boys Green Printed Pullover Sweater,Clothes,Clothes,Pepe Jeans,"Green printed pullover sweater, has a round neck, long sleeves, and ribbed hem"
Puma Unisex Black Ralph Sampson Mid-Top Leather Sneakers,Clothes,Shoes,Puma,"About the shoeBack in the '80s, Ralph Sampson was a basketball legend. First pick of the NBA Draft in '83, Rookie of the Year in '84, he towered over the rest of the players and elevated the game to unprecedented heights. Signing Sampson took PUMA to the next level in the basketball world - and in return, we created a customized kick just for him. Enter: the PUMA Ralph Sampson. With a mid-height construction for ankle support and a lightweight design for speed and agility, it was tailored to Sampson's needs on the court and stamped with his signature at the side.Â Today, over 30 years later, PUMA is bringing back the OG silhouette in honor of a Hall of Famer whose legend still impacts the game today. This reissue is available for a new generation of bball fans who care about off-court style as much as on-court performance.Product DetailsA pair of blackÂ shoes, has mid-topÂ styling, lace-up detailArchive Ralph Sampson mid-top court silhouetteLeather upper with perforated details on vampPadded collar and tongue with fitted leather overlays around ankleFull lace closure with mid-rise lacing optionTextured rubber sole provides traction and gripContrast color PUMA Formstrip overlay on lateral sideGold hand-written effect Ralph Sampson signature across ankleGold retro PUMA Majesty branding on lateral sidePUMA branded label on tongueWarranty: 3 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Boys Olive Green & Black Camouflage Printed Bomber Jacket,Clothes,Clothes,Pepe Jeans,"Olive Green and Black printed bomber jacket, has a stand collar, 3 pockets, zip closure, long sleeves, straight hem, and polyester lining"
Genius18 Men White & Black Printed Polo Collar T-shirt,Clothes,Clothes,Genius18,"White and black printed T-shirt, has a polo collar, short sleeves"
